,MLAT,glats,glons,Year
0,65,51.6989568414508,-71.07580456554972,1882
1,65,51.70208248868973,-70.44374207525746,1882
2,65,51.708801558535995,-69.8121691516818,1882
3,65,51.719142953393764,-69.18102334868766,1882
4,65,51.73313536548069,-68.55024071343836,1882
5,65,51.75080721209375,-67.91975566094682,1882
6,65,51.77218656477843,-67.28950084862868,1882
7,65,51.79730107275743,-66.65940705184117,1882
8,65,51.82617788102791,-66.02940304137661,1882
9,65,51.85884354358621,-65.3994154638493,1882
10,65,51.89532393227855,-64.76936872587592,1882
11,65,51.935644141811174,-64.13918488289555,1882
12,65,51.97982839147904,-63.50878353341636,1882
13,65,52.02789992419211,-62.87808171940239,1882
14,65,52.079880903386666,-62.24699383344024,1882
15,65,52.13579230841547,-61.61543153323636,1882
16,65,52.19565382900369,-60.983303663912615,1882
17,65,52.25948375934819,-60.35051618847082,1882
18,65,52.327298892419144,-59.716972126707724,1882
19,65,52.39911441499994,-59.082571502765255,1882
20,65,52.47494380397182,-58.44721130140924,1882
21,65,52.554798724315695,-57.81078543303966,1882
22,65,52.638688929267964,-57.17318470734749,1882
23,65,52.72662216302281,-56.53429681545194,1882
24,65,52.818604066334274,-55.894006320273576,1882
25,65,52.914638085323894,-55.25219465483043,1882
26,65,53.01472538375461,-54.60874012807869,1882
27,65,53.11886475898719,-53.96351793786372,1882
28,65,53.22705256178809,-53.31640019050231,1882
29,65,53.339282620115625,-52.66725592647237,1882
30,65,53.45554616696669,-52.01595115166048,1882
31,65,53.57583177232887,-51.36234887359062,1882
32,65,53.70012527924233,-50.70630914204697,1882
33,65,53.82840974394387,-50.047689093495016,1882
34,65,53.96066538003225,-49.3863429987093,1882
35,65,54.096869506568126,-48.72212231302578,1882
36,65,54.23699649999578,-48.054875728654395,1882
37,65,54.38101774975553,-47.38444922851268,1882
38,65,54.52890161743755,-46.71068614107245,1882
39,65,54.68061339931647,-46.03342719575116,1882
40,65,54.83611529209527,-45.352510578421544,1882
41,65,54.995366361684056,-44.66777198666611,1882
42,65,55.15832251483455,-43.97904468445658,1882
43,65,55.32493647345527,-43.286159556000236,1882
44,65,55.49515775143422,-42.58894515856081,1882
45,65,55.66893263380692,-41.8872277741321,1882
46,65,55.846204158114304,-41.1808314599188,1882
47,65,56.026912097811845,-40.46957809765808,1882
48,65,56.210992947604986,-39.753287441900994,1882
49,65,56.398379910604845,-39.03177716746239,1882
50,65,56.58900288721872,-38.304862916340724,1882
51,65,56.78278846571332,-37.572358344510214,1882
52,65,56.97965991441215,-36.834075169088806,1882
53,65,57.17953717551661,-36.0898232164953,1882
54,65,57.38233686056908,-35.33941047232104,1882
55,65,57.58797224760531,-34.582643133759596,1882
56,65,57.79635328007823,-33.81932566555923,1882
57,65,58.00738656766746,-33.04926086058945,1882
58,65,58.22097538912451,-32.272249906243545,1882
59,65,58.43701969734295,-31.488092458030064,1882
60,65,58.65541612687787,-30.69658672184566,1882
61,65,58.876058004182404,-29.897529546553848,1882
62,65,59.09883536086804,-29.090716528638325,1882
63,65,59.32363495033703,-28.275942130830337,1882
64,65,59.55034026818063,-27.45299981674753,1882
65,65,59.778831576776646,-26.621682203710566,1882
66,65,60.008985934565665,-25.781781236025363,1882
67,65,60.24067723052776,-24.93308838113307,1882
68,65,60.47377622442378,-24.075394851129715,1882
69,65,60.70815059340744,-23.208491852243114,1882
70,65,60.94366498565402,-22.332170864918066,1882
71,65,61.18018108168943,-21.446223957204936,1882
72,65,61.41755766413818,-20.550444134157726,1882
73,65,61.65565069664,-19.644625725931046,1882
74,65,61.89431341271147,-18.728564817207584,1882
75,65,62.1333964153511,-17.802059720489282,1882
76,65,62.372747788200556,-16.864911495638278,1882
77,65,62.61221321908304,-15.91692451785276,1882
78,65,62.851636136739195,-14.957907096005378,1882
79,65,63.09085786157097,-13.987672142946579,1882
80,65,63.32971777118217,-13.006037898986513,1882
81,65,63.568053481473015,-12.012828709302172,1882
82,65,63.80570104399922,-11.007875855476497,1882
83,65,64.0424951602452,-9.991018440754582,1882
84,65,64.27826941338802,-8.96210432790014,1882
85,65,64.51285651803276,-7.920991127751138,1882
86,65,64.74608858829355,-6.867547235710441,1882
87,65,64.97779742446417,-5.801652912465538,1882
88,65,65.20781481837668,-4.72320140422109,1882
89,65,65.43597287737867,-3.632100096652718,1882
90,65,65.6621043666756,-2.5282716956644875,1882
91,65,65.88604306957853,-1.4116554268692867,1882
92,65,66.10762416497552,-0.2822082445269217,1882
93,65,66.3266846211038,0.8600939605088171,1882
94,65,66.54306360444563,2.01525516544194,1882
95,65,66.75660290230044,3.183258045500769,1882
96,65,66.96714735730917,4.36406284296149,1882
97,65,67.1745453119202,5.557606289883765,1882
98,65,67.37864906050113,6.763800599977954,1882
99,65,67.57931530651481,7.982532545604724,1882
100,65,67.7764056219038,9.213662636270197,1882
101,65,67.96978690556584,10.457024415089444,1882
102,65,68.1593318375638,11.712423889515678,1882
103,65,68.34491932550122,12.979639112144785,1882
104,65,68.52643493931807,14.258419926582357,1882
105,65,68.70377133062816,15.548487892186579,1882
106,65,68.87682863263193,16.849536399970383,1882
107,65,69.04551483661008,18.16123099006057,1882
108,65,69.2097461410323,19.48320987888484,1882
109,65,69.36944726941122,20.81508470171635,1882
110,65,69.52455175319437,22.15644147338221,1882
111,65,69.67500217622086,23.506841766893153,1882
112,65,69.82075037757102,24.86582410652772,1882
113,65,69.96175761000912,26.232905568583686,1882
114,65,70.09799465165143,27.607583579664247,1882
115,65,70.2294418689847,28.989337899080095,1882
